739	Převody jednotek délky	AGFO-ROxH_I	""	484
740	Formální vysvětlení funkcí	BQMyeQOLvpg	""	961
742	Dělení zlomkem	zQMU-lsMb3U	""	538
757	Řazení nepravých zlomků a smíšených čísel	4Ql6o932ZFU	""	361
760	Redoxní reakce (staré)	yp60-oVxrT4	""	865
762	45-45-90 trojúhelníky	tSHitjFIjd8	""	570
764	CA Algebra I: Funkce	NRB6s77nx2g	""	395
773	Acidobazická titrace	XjFNmfLv9_Q	""	751
810	Sčítání zlomků - příklady	BKEtsv9MbyY	""	460
814	"Zjednodušování výrazů, CA Algebra I"	ri-0v6vqcKM	""	651
818	Jak tvořit videa	u2F_dTulT0w	""	617
819	Salman Khan v CNN	PY5VKiG_IXE	""	186
822	CA Algebra I: Soustavy nerovnic	1piZ8oYWh3E	""	776
823	CA Algebra I: Jednoduché logické argumenty	yIzF_XGX4qk	""	664
826	CA Algebra I: Grafy nerovnic	KZ8Vw_Nim8U	""	702
828	CA Algebra I: Více slovních příkladů	ch5tDNaeuxc	""	623
829	Proč učitelé využívají Khan Academy?	lzbeFAcoFyQ	""	56
832	CA Algebra I: Směrnice přímky a průsečík osy y	31v-n2ND2VE	""	750
833	Jak vymazat studenta či celou třídu	0dLNOCMRkGk	""	100
840	Oligopoly a Monopolistická konkurence	PzDthFTzEa0	""	561
845	Příklad z testu CA: Základní trigonometrie	MyvRxKM0xns	""	664
870	Výpočet reálného HDP pomocí deflátoru	v5YT8GlSxoU	""	339
873	Khan Academy v Eastside College Prep	mLi7BhMj8TA	""	320
923	Řešení kvadratických rovnic pomocí rozkaldu	N30tN9158Kc	""	552
925	Úvod do úhlů (starší verze)	2439OIVBgPg	""	595
934	Převod zlomku na desetinné číslo	Gn2pdkvdbGQ	""	562
956	Matice - úvod	0oGJTQCy4cQ	""	269
969	Inverzní funkce Příklad 2	aeyFb2eVH1c	""	432
970	Reportáž CNN	DvyAc6PNbVo	""	143
972	Fiskální útes	lV3LBiivTxw	""	722
980	Oprava videa o peroxidu vodíku (staré)	YPjtG5PA-iY	""	142
986	SAT - příprava: test 1 odd.3 část 1	tP9bocr_C2I	""	597
987	SAT - příprava: test 1 odd.3 část 3	BRX5mWU0pKo	""	530
1006	Khan Academy na Gates Notes	UuMTSU9DcqQ	""	142
1032	Navigace - slovní úloha	XTWZ_M8d-4g	""	480
1045	Odečítání reálných výrazů.	YO_SwIKGMqQ	""	335
1046	Důkaz: lim (sin x)/x = 1	Ve99biD1KtA	""	1085
1057	Tvorba videí ve stylu Khan Academy	Ohu-5sVux28	""	588
1070	Rozumíme výkazům inflace	DK1lCc9b7bg	""	210
1071	Úhly (část 3)	NLg6hfoKKlE	""	587
1073	SOPA (Stop Online Piracy Act)  & PIPA	tzqMoOk9NWc	""	675
1081	Salman Khan na univerzitě v Rice	oipQBY7F4YY	""	1021
1089	Rozklad ceny benzínu	1YYy0DEOpoU	""	744
1090	Perryho poučky: Khan Academy	7w3DHilPtI4	""	154
1104	Pythagorova věta II	nMhJLn5ives	""	576
1120	Řešení soustav rovnic substitucí 2	wB3QCk0MGuw	""	246
1121	Součet dělitelů čísla 27 000	17st-s5gg10	""	403
1151	Základní Trojúhelníkové Důkazy Příklad 2	NDeDnfuoDQM	""	173
1170	Důstojník na koni	IPJAi5zWu9U	""	534
1171	Řešené příklady na výpočet obsahu a objemu	3A305Mhtkug	""	411
1175	Substituční Metoda	uzyd_mIJaoc	""	279
1179	Exponenciální růst a rozklad	m5Tf6vgoJtQ	""	441
1200	Základy analýzy v komplexním oboru	FwuPXchH2rA	""	784
1201	SAT - příprava: Test 2 odd.3 část 1	0QvGgONYDeA	""	517
1202	SAT - příprava: test 1 odd.3 část 2	uFfMl-wGOqA	""	598
1206	SAT - příprava: Test 1 odd. 6 část 2	EWsVUf6ZFgw	""	519
1211	Body na číselné ose	qW-Ce44ll0Q	""	188
1216	SAT - příprava: Test 2 odd. 3 Část 2	jG_R8MyQ53U	""	601
1221	Pokročilejší poměrové úlohy	PASSD2OcU0c	""	597
1224	CA Algebra I: Doplnění na čtverec	8M4c8TB3Cdc	""	828
1236	Řešení slovních úloh 2 - soustavy rovnic	s1QN7sSfBM8	""	740
1258	Kladné a záporné exponenty	JUGmviJC_pk	""	139
1271	Násobení  a zjednodušování racionálních výrazů	x6FFjiHPlSI	""	305
1287	Převod rovnice se zlomkem na lineární rovnici.	PPvd4X3Wv5I	""	191
1289	"PPACA  neboli ""Obamacare"""	8nW9L7cSop4	""	434
1291	Primárky a vnitrostranické volby	z_QeYCg4yJ8	""	493
1295	Flokulace	5uuQ77vAV_U	""	335
1300	Americké běžné jednotky a metrické jednotky	y2RHWA7t0WM	""	310
1303	TODAY Show: Průmyslové společnosti mění tvář vzdělání	d4UQFgAdxUs	""	248
1306	Násobení a dělení - slovní úloha na porovnání kouzelnických schopností	9CZfG3r5JBE	""	70
1311	Rozhovor s Jessicou Yuen	UNsf1X5I_n0	""	537
1323	Dělení čtvrté úrovně	gHTH6PKfpMc	""	576
1347	Komplexně sdružená čísla	dbxJ6LD0344	""	241
1357	Diferenciální počet: Derivace 1	rAof9Ld5sOg	""	566
1372	Algebra: Směrnice přímky 2	Kk9IDameJXk	""	586
