id	title	youtube_id	youtube_id_original	duration	Block ID	Block title
687	Umělecká reprezentace a abstrakce: Pohled na Millaise a Newmana	8-5DTsl1V5k	""	510	325	Abstraktní expresionismus
1677	MoMA a abstraktní expresionismus	qh10-sfZNJE	""	314	325	Abstraktní expresionismus
1247	"Mark Rothko, No. 3/No. 13, 1949"	FnkATpF4O2Q	""	312	325	Abstraktní expresionismus
1718	Mark Rothko	JPoQeuWybIo	""	337	325	Abstraktní expresionismus
1438	"Jackson Pollock, Jedna: Číslo 31, 1950"	2JleSka1klc	""	455	325	Abstraktní expresionismus
2043	Doba temna - jak temná byla?	Qs0J-O0HCbA	""	655	204	A co na to Bůh?
2029	Křížové výpravy - poutě nebo svaté války?	p13IEJ_V_U0	""	652	204	A co na to Bůh?
2033	Křesťanství od judaismu ke Konstantinovi	zfJqkiNXShI	""	667	204	A co na to Bůh?
2034	Pád Římské říše... v 15. století	nLi5-KKcmY0	""	723	204	A co na to Bůh?
2019	Mansa Musa a islám v Africe	Hz0neklvbX8	""	599	204	A co na to Bůh?
1827	"Islám, korán a pět pilířů.  A to vše bez hádek v komentářích!"	3M8bwwafMxY	""	741	204	A co na to Bůh?
1869	Daně jako nástroj fiskální politiky	BRXBCxKjiK8	""	160	253	Agregátní poptávka a agregátní nabídka
2630	Poptávková inflace	HdqbCvqTb20		558	253	Agregátní poptávka a agregátní nabídka
2634	Reálný HDP ovlivňuje cenu	XsD7mqFDJs0		375	253	Agregátní poptávka a agregátní nabídka
1522	Inflace tlačená náklady	3A-nAw2tY_4	""	345	253	Agregátní poptávka a agregátní nabídka
1388	Agregátní poptávka	oLhohwfwf_U	""	833	253	Agregátní poptávka a agregátní nabídka
2230	Změny v agregátní poptávce	scN-1B6plos	""	318	253	Agregátní poptávka a agregátní nabídka
2093	Dlouhodobá agregátní nabídka	8W0iZk8Yxhs	""	275	253	Agregátní poptávka a agregátní nabídka
2614	Krátkodobá agregátní nabídka	3nbalsyibKU		735	253	Agregátní poptávka a agregátní nabídka
569	Monetární a fiskální politika	ntxMOKXHlfo	""	534	253	Agregátní poptávka a agregátní nabídka
890	"Grant Wood, Americká gotika, 1930"	vk2GvyNmYD0	""	380	327	Americký modernismus
1894	"Georgia O'Keeffe, The Lawrence Tree, 1929"	wQq2xOs2BYU	""	156	327	Americký modernismus
3131	Vzdálenost mezi bodem a přímkou	iATjsfAX8yc		332	384	Analytická geometrie
3125	Určení podobnosti trojúhelníků	e6sh8AXz41E		621	384	Analytická geometrie
3124	Rozpoznání čtyřúhelníku	vsgrWDLEzcQ		309	384	Analytická geometrie
3123	Leží bod na dané kružnici?	9ASWQi14FlE		621	384	Analytická geometrie
3129	Dělení úsečky v poměru 2	0rlNHYHhrWs		280	384	Analytická geometrie
3130	Rovnoběžné a kolmé přímky	9hryH94KFJA		553	384	Analytická geometrie
3127	Střed úsečky	Ez_-RwV9WVo		401	384	Analytická geometrie
3128	Dělení úsečky v poměru	lEGS5ECgFxE		338	384	Analytická geometrie
3126	Které poskoky můžeme zneškodnit?	gS6s3MGZlRc		352	384	Analytická geometrie
3609	Výpočet plochy pod křivkou - aplikovaná úloha	okjt-OZY1JU		415	435	Aplikace integrálů
2169	Objem rotačního tělesa užitím určitého integrálu	btGaOTXxXs8	""	541	435	Aplikace integrálů
3597	Objem rotačního tělesa užitím určitého integrálu 2	43AS7bPUORc		453	435	Aplikace integrálů
3595	Plocha mezi dvěma křivkami	4bZyfvKazzQ		249	435	Aplikace integrálů
3596	Plocha mezi třemi křivkami	LbTH7MGMNjk		414	435	Aplikace integrálů
2577	Výpočet plochy pod křivkou - aplikovaná úloha 2	6FTiHeius1c		447	435	Aplikace integrálů
917	"Paul Troost,Dům (německého) umění, 1933-37"	hpY22uSAPAA	""	442	321	Architektura
2040	"Mies van der Rohe, Seagram Building, New York City (1958)"	ZyyuflY5k2k	""	549	321	Architektura
1833	"Gordon Bunshaft - Skidmore, Owings and Merrill, Lever House"	g3LBmyq-J9s	""	237	321	Architektura
3323	Příklad: určování isotopů	koAFBScR41A		225	194	Atomy a prvky
3282	"Atomové číslo, nukleonové číslo a izotopy"	I-Or4bUAIfo		584	194	Atomy a prvky
2970	Úvod do chemie	Rd4a1X3B61w		466	194	Atomy a prvky
62	Atomy a prvky	IFKnq9QM6_A	""	789	194	Atomy a prvky
63	Úvod do atomu	1xSQlwWGT8M	""	1265	194	Atomy a prvky
633	Moly a Avogadrova konstanta	AsqEkF7hcII	""	584	194	Atomy a prvky
3488	Úvod do iontů	zTUnjPALX_U		397	194	Atomy a prvky
362	"Nicolas Poussin, Krajina se svatým Janem na ostrově Patmos, 1640"	H3uBAVI4xC4	""	306	308	Barokní klasicismus
2070	"Carracci, Strop paláce Farnese, 1597-1606"	DR9ad67Ftv0	""	578	308	Barokní klasicismus
1188	"Annibale Carracci, Ukřižování, 1583"	7Hc08dgjLrM	""	603	308	Barokní klasicismus
2237	"Guercino: Sv. Lukáš představuje obraz Panny, 1652-53"	EczhLjFtyio	""	508	308	Barokní klasicismus
2378	"Antoine nebo Louis Le Nain, Rolnická rodina v interiéru, 2. čtvrtina 17. století"	ZSh1ksh1iO4		192	308	Barokní klasicismus
1785	"Nicolas Poussin, Et in Arcadia Ego, 1637-38"	dgsogHXtwyA	""	123	308	Barokní klasicismus
1671	"Rembrandt, Dívka u okna, 1645"	xSixUm1cXSw	""	170	307	Barokní realismus
732	"Rembrandt van Rijn, Bathshebina koupel, 1654"	wsL4Uh0BrQw	""	243	307	Barokní realismus
551	"Caravaggio, Večeře v Emauzích, 1601"	asLQmxK7ExY	""	243	307	Barokní realismus
855	"Caravaggio, ukřižování Svatého Petra, 1601"	cLICU2cDHrs	""	219	307	Barokní realismus
919	"Caravaggio, Smrt Panny Marie, rok 1605-06"	TkH-yjJ35vU	""	237	307	Barokní realismus
857	"Caravaggiho; Povolání Svatého Matouše, vytvořeno 1599-1600"	SZF5K8epWko	""	382	307	Barokní realismus
563	"Caravaggio, Narcissus at the Source, 1597-99"	JrTsNuUQXzU	""	217	307	Barokní realismus
1077	"Jan Vermeer, Sklenice vína, 1661"	uvA6YY4yHtM	""	257	307	Barokní realismus
1117	"Jan Vermeer, Děvečka se džbánem mléka, 1662"	_38xl7p4VaM	""	289	307	Barokní realismus
2099	"Rembrandt, Tři kříže, 1653"	7PA0T4_KYC0	""	623	307	Barokní realismus
3556	Umocňování dvojčlenu bez Pascalova trojúhelníku	2IFItASxDVo		299	426	Binomická věta
3557	Propojení binomické věty s kombinatorikou - důkaz 2	x-N76NrMDNE		246	426	Binomická věta
3576	Propojení binomické věty s kombinatorikou - důkaz	_hrN4rVCOfI		255	426	Binomická věta
3554	Pascalův trojúhelník a binomická věta	v9Evg2tBdRk		500	426	Binomická věta
3553	Úvod do binomické věty	iPwrDWQ7hPc		795	426	Binomická věta
3555	Zjišťování koeficientu konkrétního členu binomického rozvoje	ojFuf9RYmzI		521	426	Binomická věta
1286	Oxidativní fosforylace a chemiosmóza	W_Q17tqw_7A	""	299	171	Buněčné dýchání
1334	Oxidace a redukce v buněčném dýchání	_KyyVhlUDNU	""	1028	171	Buněčné dýchání
2726	ATP: Adenosintrifosfát	PK6HmIe2EAg		379	171	Buněčné dýchání
1650	Úvod do buněčného dýchání	2f7YwCtHcgk	""	859	171	Buněčné dýchání
2309	Krebsův cyklus (cyklus kyseliny citronové)	juM2ROSLWfw	""	1067	171	Buněčné dýchání
1246	Glykolýza	FE2jfTXAJHg	""	810	171	Buněčné dýchání
1901	Oxidace a redukce z biologické perspektivy	orI2m6IarJg	""	809	171	Buněčné dýchání
