115	Sériové zapojení rezistorů	7vHh1sfZ5KE	""	
116	Paralelní zapojení rezistorů	ZrMw7P6P2Gw	""	
117	Sério-paralelní zapojení rezistorů	3NcIK0s3IwU	""	
118	Úvod do magnetismu	8Y4JSp5U82I	""	
119	Magnetická pole a pohybující se částice	NnlAI4ZiUrQ	""	
120	Proton v magnetickém poli 1	LTuGQy4rmmo	""	
121	Proton v magnetickém poli 2	b1QFKLZC11U	""	
122	Magnetické pole tvořené proudem	Ri557hvwhcM	""	
123	"Elektromotory, 1. část"	pAgPfr7MkkU	""	
124	Elektrická potenciální energie	elJUghWSVh4	""	
125	Lom světla a Snellův zákon	y55tzg_jW9I	""	
126	Lineární rovnice 9	ApGe03g1djU	bAerID24QJ0	
127	Lineární rovnice 5	tL976zeQSzc	9DxrF6Ttws4	
128	Vyjádření neznámé ze vzorce 3	zcD0hW5mhQA	Aig1hkq3OsU	
129	Vyjádření neznámé ze vzorce 1	KIlrijlmB90	tC1SfxRvtmM	
130	Vyjádření neznámé ze vzorce 4	1orkTAR1_HA	Aig1hkq3OsU	
131	Vyjádření neznámé ze vzorce 2	32PBuDGkvgU	BR5yFOt0zao	
132	Lineární rovnice 10	WVsvHMZOn38	DopnmxeMt-s	
133	Lineární rovnice 1	ci-qNw1wvQk	XoEn1LfVoTo	
134	Lineární rovnice 2	lQz9ydNZaSg	p5e5mf_G3FI	
135	Lineární rovnice 12	ICqC7DF2vFs	tuVd355R-OQ	
136	Definice nových operátorů	GVOdXyM1gI4	ND-Bbp_q46s	
137	Lineární rovnice 7	UanejYE8Upo	1c5HY3z4k8M	
138	Lineární rovnice 6	HgPFEpYcz2g	f15zA0PhSek	
139	Lineární rovnice 14	dSN88E2Or4E	xMsG9hvqzbY	
140	Lineární rovnice 15	z59L8bOzlv0	a5uNoOnEy_A	
141	Lineární rovnice 11	5zqdlMYcnlc	a5uNoOnEy_A	
142	Lineární rovnice 13	W_0mOd7qaHE	CJyVct57-9s	
143	Lineární rovnice 14	Ue-NfvHhNlc	YZBStgZGyDY	
144	Lineární rovnice 15	3rxOdor3etw	YZBStgZGyDY	
145	Lineární rovnice 13	PU_EiSakx9E	zKotuhQWIRg	
146	Lineární rovnice s neznámou ve jmenovateli	OJoEi6ihTdc	9IUEk9fn2Vs	
147	Součet po sobě jdoucích celých čísel 1	lgwjWiMOeWY	d8De3xcVmnw	
148	Součet po sobě jdoucích celých čísel 2	l0mNHqWIJLw	W254ewkkMck	
149	Vyjádření neznámé ze vzorce 5	S9gC7hfupQI	eTSVTTg_QZ4	
150	Slovní úloha - řešení rovnicí 1	vLf0snP2WyM	cNlwi6lUCEM	
151	Výpočet rychlosti	Z0qL-vyuCZM	7WXijfIZh64	
152	Aritmetický průměr	sPxWcmrdWdo	9VZsMY15xeU	
153	Slovní úloha - řešení rovnicí	Azh5UijdKT0	iimpwYBiKNg	
154	Procenta 1	harecmDnLVQ	TvSKeTFsaj4	
155	Slovní úlohy	O0DzocI0r-0	LRKMoqrMbGw	
156	Procenta 2	zM3URjofwz0	_SpE4hQ8D_o	
157	Procenta 3	DAdOAqAqwBY	X2jVap1YgwI	
158	Procenta - slovní úlohy 1	faaF582DP4I	d1oNF88SAgg	
159	Procenta - slovní úlohy 2	CD1d3L9K7bo	4oeoIOan_h4	
160	Přímá úměrnost 1	ZrPDloS8boE	rSadG6EtJmY	
161	Přímá úměrnost 2	fO8gXFF5KdY	c6-FJRda_Vc	
162	Přímá úměrnost 3	p_w-gz5btkI	ZsjfUUJUq9s	
163	Úloha o pohybu	OsFRCWybebU	uA3m8vbd2wc	
164	Slovní úloha - výpočet věku 1	lcZVO3CdEu0	bAUT_Pux73w	
165	Slovní úloha - výpočet věku 2	gObQlUmNIl0	pPqPj8CAPvI	
166	Slovní úloha - výpočet věku 3	g5ibI0QMNNM	DplUpe3oyWo	
167	Poměr	c9nFMCoZFr8	96ZEmUbnuU8	
168	Řady 1	RTrXmsGucbs	Zj-a_9cd5jc	
169	Řady 2	sWegF0TE5dw	zIcxrhyJs6M	
170	Řady 3	cUDjcW3r7SE	_3BnyEr5fG4	
171	Řady 4	wcd7QrDAO9s	JtsyP0tnVRY	
172	Lineární funkce	N5HU0L30ygg	YB1XuQ1Pc5s	
173	Rovnice s absolutní hodnotou rovnou nule	9UFjt9wauk0	GwjiR2_7A7Y	
174	Úvod do limit	W0VWO4asgmk	""	
175	Úvod do limit	riXcZT2ICjA	""	
176	Finále aneb kreslíme graf pomocí derivací	zC_dTaEY2AY	""	
177	Parametrizace povrchů 2	bJ_09eoCmag	""	
178	Optimalizace pomocí kalkulu 2	3GYv-BZYYdg	""	
179	Dvojité integrály 3	z8BM6cHifPA	""	
180	"Newton, Leibniz a Usain Bolt"	EKvHQc3QEow	""	
181	"Mitóza, meióza a pohlavní rozmnožování"	kaSIjIzAtYA	""	
182	Embryonální kmenové buňky	-yCIMk1x0Pk	""	
183	Hádanka o panu Pravdomluvném a panu Lháři	69rDtSpshAw	""	
184	Nerovnice	z9-iHdpQKd8	FZ2APP6-grU	
185	Zjednodušování výrazů	Hfihqi82M4A	""	
186	Výrazy s proměnnými	aoXUWSwiDzE	""	
187	Vzory a rovnice	rUT0pa87m7E	""	
188	Rovnice a nerovnice	7xd2gvRwPxE	hJ-_OoCHTks	
189	Definiční obor a obor hodnot funkce	O0uUVH8dRiU	""	
190	Funkce - grafické znázornění	jQ-fS2lsslU	""	
191	Slovní úlohy - řešení 1	Xz6rT9k8ftg	""	
192	Postupy pro řešení slovních úloh	SpDIXJ2I2D4	""	
193	Nerovnice s násobením a dělením	DriH03z0GrM	PNXozoJWsWc	
194	Nerovnice na číselné ose	0czeZwl3ZRM	dTwZ5N126gw	
195	Řešení nerovnic	XaV5i8b3QY8	VgDe_D8ojxw	
196	Slovní úloha s řešením nerovnice	JrR8lEXmN9s	pbLiN8D9gAk	
197	Nerovnice - řešení jedním krokem 2	R9pFgfW30I0	D1cKk48kz-E	
198	Základy obvodu a obsahu	LoaBd-sPzkU	""	
199	Konstrukce pomocí kružítka	79lagkER9qY	""	
200	Obvod a obsah	kqqmJiJez6o	""	
201	PBS NewsHour o Khan Academy	HycjWQcAymQ	""	
202	Nerovnice s absolutní hodnotou 3	x5EJG_rAtkY	""	
203	Nerovnice - řešení více kroky	Al_4VQm02hM	XOAn5z8mkvI	
204	Nerovnice s absolutní hodnotou 4	y9MGpOGQVqQ	""	
205	Mřížkové násobení: Postup	gS6TfWUv97I	""	
206	Proč není definováno dělení nulou?	SQzjzStU1RQ	""	
207	Příklad: Zaokrouhlování na stovky a desítky	4r6t4gSbTtA	_qzs1zozTBo	https://cs.khanacademy.org/v/rounding-whole-numbers-1
208	Násobení kladných a záporných čísel	rfbhQybIjEY	47wjId9k2Hs	
209	Váhy: Proč děláme vždy stejnou operaci na obou stranách rovnice	3Dc6hkFh9R0	_y_Q3_B2Vh8	
210	Váhy: Popis vztahu jednoduchou rovnicí	uC2YG_IywDQ	XN48Ba9Ncr8	
211	"Magnetická síla mezi vodiči, 2. část"	4tctB1wZNiI	""	
212	Úvod do evoluce a přirozeného výběru	GcjgWov7mTM	""	
213	Proč dělíme obě strany rovnice	Ye13MIPv6n0	""	
214	Slovní úloha na odčítání	HL9bnYxUib8	QY8vv7eVVJE	
215	Písemné sčítání: Postup	kkbSh5W4_pU	b22tMEc6Kko	
216	Příklad: tahání kuliček	yUaI0JriZtY	""	
217	Sčítání desetinných čísel s rozdílnými znaménky - slovní úloha	fFdOr8U4mnI	""	
218	Násobení 4: dvouciferné krát jednociferné číslo	OYYYc7ygd38	""	
219	Příklad: Písemné násobení 2-ciferným činitelem	0WUXQNjdRvM	""	
220	Komutativní zákon - sčítání	DdnxnP7ndMk	HwSszh3L358	https://cs.khanacademy.org/v/commutative-law-of-addition
221	Asociativní zákon - sčítání	PF-INXDJtpY	oTKVXJ7TcbA	https://cs.khanacademy.org/v/associative-law-of-addition
222	Evoluce - Objasnění	nh1R-gyY7es	""	
223	Vodiče a magnetická síla	jQ2nD8ZGeEw	""	
224	Řecká dluhová krize a úsporná opatření	wtg917JKkFY	9p10aMu1Glo	
225	Příklad 1: Identita čísla 1	scIjKsMVUnE	6nZp2QGeQ9k	https://cs.khanacademy.org/v/identity-property-of-1
226	Písemné odčítání: Postup	Oa0VW5c03NU	sAw71J2kYJE	
227	Příklad: Řád číslice	HGCtsSgdDPE	""	
228	Číselné řády 2	XkU8u2S1qN8	wd4cRAoBOiE	https://cs.khanacademy.org/v/place-value-2
229	Hladiny krevního cukru	JSFiOF7xGfE	""	
230	Příklad: Zapiš jako mocninu	oirkf-s1kKI	mJ1P4A-KA8k	https://cs.khanacademy.org/v/understanding-exponents
231	Limita - příklady (část 1)	GGQngIp0YGI	""	
232	Limita - příklady (část 2)	YRw8udexH4o	""	
233	Příklad: Jsou zlomky ekvivalentní?	M0tdHmL9Cbs	Io9i1JkKgN4	
234	Příklad: Zapiš jako zlomek	-a_w0_VAo6U	""	
235	Limita - příklady (část 3)	gWSDDopD9sk	""	
236	Limita - příklady s mozkovou poruchou v prvním příkladu (část 4)	xjkSE9cPqzo	""	
237	Appomattox Court House a zavraždění Lincolna.	Frpq_A7Ky_Q	""	
238	Využití nerovnic s absolutní hodnotou v praxi	RHe9X2HDEjA	""	
239	Proč má Evropa obavy z vývoje v Řecku	fkeBOO9XGsE	xc-TSAQkqJ0	
240	Příklad: další cvičení na empirické pravidlo a z-skóre	itQEwESWDKg	""	
241	Příklad: standardizované normální rozdělení a empirické pravidlo	2fzYE-Emar0	""	
242	Příklad: Rozpětí a střed rozpětí	7DtWXEPB_AI	""	
243	Popis a význam procent	aKOPWGVqulE	Lvr2YsxG10o	https://cs.khanacademy.org/v/describing-the-meaning-of-percent
244	Zápis  a použití nerovnic 2	cCMpin3Te4s	""	
245	Identita součtu	2uRUVQswyME	bjVn4WGmNis	https://cs.khanacademy.org/v/inverse-property-of-addition
246	Měřítko sluneční soustavy	GP53b__h4ew	""	
247	Úvod do logaritmů	mQTWzLpCcW0	""	
248	Původ algebry	_LDR1_Prveo	""	
249	Molekulární teorie plynů	tQcB9BLUoVI	""	
250	Zákon poptávky	ShzPtU7IOXs	""	
251	Příklady: Písemné násobení vícecifernými činiteli	MEdh3hdz65k	-h3Oqhl8fPg	
252	Příklad: Zapiš sčítání pomocí násobení	cS85hSsH9i4	Yw3EoxC_GXU	
253	Příklad: Zaokrouhlování na desítky	yd576Y_CI7g	3jBfLaLrk6I	https://cs.khanacademy.org/v/rounding-whole-numbers-3
254	Soustava dvou nerovnic 2	ZF_cZ-GX9PI	""	
255	Soustava dvou nerovnic 4	cvB8b4AACyE	""	
256	Rozklad kvadratických polynomů 	K5ggNnKTmNM	""	
257	Neurčitý integrál nebo primitivní funkce	xRspb-iev-g	""	
258	Anatomie nervové buňky (neuronu)	ob5U8zPbAX4	""	
259	Řecká finanční krize	soQ91vbuzIs	9p10aMu1Glo	
260	Proč a jakým způsobem by Řecko mohlo opustit Euro	Pjb1E1YnnjE	jkmwAJMERrY	
261	Distributivní zákon 3	ewEorPD4kdA	""	
262	Součet úhlů trojúhelníku	OPG-9IFnJnI	""	
263	Lineární rovnice 8	TOxvjhqe-1w	Zn-GbH2S0Dk	
264	Eukleides - otec geometrie	WqzK3UAXaHs	""	
265	Binomické rozdělení 4	H0ZgOGWUcJw	""	
266	Nerovnice se sčítáním a odčítáním	gWlBYg9MAGU	UTs4uZhu5t8	
267	Grafické znázornění lineárních rovnic	rgvysb9emcQ	""	
268	Přirozený výběr a soví motýl	dR_BFmDMRaI	""	
269	Obsah rovnoběžníku 	tFhBAeZVTMw	""	
270	Úvod do čtyřúhelníků - pravidla a názvosloví	s1mXDueDMbw	Ka82QC4QvGA	https://cs.khanacademy.org/v/quadrilateral-overview
271	Příklad 3: Písemné sčítání desetinných čísel	P4wUXYgxthw	w616LEmrHVE	
272	Obsah pravidelného šestiúhelníku	LrxZMdQ6tiw	""	
273	"Elektromotory, 3. část"	XMkUDyl1ZRo	""	
274	Vize Khan Academy	CaPrP5UViXI	a6kwIBI3j98	
275	Protilehlé úhly rovnoběžníku jsou shodné	oIV1zM8qlpk	""	
276	Příklad: Rozděl 18 beden na 2 hromady	4I9iibPLdBw	""	
277	Komutativní zákon - násobení	KRT6cvS13VE	ENKH97PYssg	https://cs.khanacademy.org/v/commutative-law-of-multiplication
278	Identita čísla 0	eV3Q8JJH2cI	uXTRmzXlorI	https://cs.khanacademy.org/v/identity-property-of-0
279	Písemné násobení: 2-ciferné krát 2-ciferné číslo	t8m0NalQtEk	""	
280	Řešení složitějších nerovnic	UcwhsgdS8bw	xOxvyeSl0uA	https://cs.khanacademy.org/v/multi-step-inequalities
281	Příklad: Vypočítej mocninu	TThi2Xc-N6Q	5qfOViJda_g	http://cs.khanacademy.org/video/understanding-exponents-2
282	Výpočítejte si BMI - index tělesné hmotnosti	5RXRr8PKunk	""	
283	11 hlavních svalových skupin 	rKE63BBouP8	""	
284	Distributivní zákon	uImfWovQU9M	gl_-E6iVAg4	https://cs.khanacademy.org/v/the-distributive-property
285	Proč funguje pravidlo o dělitelnosti 3	rE5k64w2eeE	NehkLV77ITk	
286	Liviina vila: Namalovaná zahrada	PPyqEsyVmIQ	""	
287	Co je krevní tlak?	J97G6BeYW0I	""	
288	Exponenty - část 1	8htcZca0JIA	""	
289	Hranice produkčních možností	_7VHfuWV-Qg	""	
290	Biologické druhy	Tmt4zrDK3dA	""	
291	Lidská prehistorie: Prolog	Mm-IxK1GrYE	""	
292	While cykly v Pythonu	D0Nb2Fs3Q8c	""	
293	Hlava císaře Augusta	bhE7cHE4wF0	""	
294	Měření úhlů ve stupních	gXXAAhtGn6Y	92aLiyeQj0w	https://cs.khanacademy.org/v/measuring-angles-in-degrees
295	Příklad: Násobení 2 zlomků	cI_Yhn_fwEU	CTKMK1ZGLuk	
296	Obvod mnohoúhelníku	5ZCKr4wTQvI	""	
297	Mřížkové násobení: Proč funguje	S3z4XqC_YSc	""	
298	Soustava dvou nerovnic	0YErxSShF0A	""	
299	Řazení zlomků podle velikosti	oq3ivck3v_o	N8dIOmk_lHs	
300	Parthenon: Sochy z východního štítu	Ip6hmC2KIug	""	
301	Umírající Gal	3M4pu6YtzJU	""	
302	Pořadí aritmetických operací	nn1jWRnaIS0	ClYdw4d4OmA	https://cs.khanacademy.org/v/introduction-to-order-of-operations
303	Grafické znázornění soustavy nerovnic	TqsRlc02rtc	""	
304	Grafické znázornění soustavy nerovnic 2	YjT3QYfoy4Q	""	
305	Grafické znázornění soustavy nerovnic 3	UUwmo5qaTuI	""	
306	Náklady obětované příležitosti	pkEiHZAtoro	""	
307	Zvyšující se náklady obětované příležitosti	00fgAG6VrRQ	""	
308	Kvadratické rovnice 	tSNtCg7o7bA	""	
309	"Spirály, Fibonacci a rostliny"	ahXIMUkSXX0	""	
310	Rosettská deska	OFXY9-pec1I	""	
311	"Duccio, Maesta (zadní část), 1308-11"	w6Tgu14VSLY	""	
312	Naramsinova stéla	OY79AuGZDNI	""	
313	"Spirály, Fibonacci a rostliny - část 2"	lOIP_Z_-0Hs	""	
314	Inflace: základy	mO6y4KON1e8	""	
315	Standarta z Uru	Nok4cBt0V6w	""	
316	Porovnání pronájmu a koupě domu	YL10H_EcB-E	""	
317	For cykly v Pythonu	9LgyKiq_hU0	""	
318	Krácení zlomků do základního tvaru	WPimvspI0_c	""	
319	Rozdíl zlomků se stejnými jmenovateli	c1Vy3QYfHi4	UbUdyE1_b9g	
320	Sčítání komplexních čísel	SfbjqVyQljk	""	
321	Komplexní čísla	MEuPzvh0roM	""	
322	Vyčíslování chemických rovnic	TUuABq95BBM	""	
323	ATP: adenosintrifosfát	YQfWiDlFEcA	""	
324	Co je to inflace	yahEP620480	""	
325	Násobení komplexních čísel	cWn6g8Qqvs4	""	
326	Příklad: pravděpodobnost vytažení žluté kuličky	cdRLBOnLTDk	""	
327	Proč není výraz 0 děleno 0 v matematice definovaný?	PDReqvXfkBA	""	
328	Hemoglobin přenáší O2 a CO2	QP8ImP6NCk8	""	
329	Pompeje: Alexandrova mozaika z Faunova domu	51UA1T89MzU	""	
330	Socha spícího Erota a Staré trhovkyně	Vs2BfQ5_tjI	""	
331	Co je to šifrování?	Kf9KjCKmDcU	""	
